district,mandal,village,lat_gis,long_gis,gwl,season,,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
ADILABAD,Adilabad,Adilabad,196.683,785.247,7.1,Post-monsoon 2020,,08.01,1477,945.28,0,390,220,0.65,6.442.181.818,33,171,9,24,72.93,3.598.766.447,3.919.146.004,C3S1,602.467.105,P.S.
ADILABAD,Bazarhatnur,Bazarhatnur,19.458.888,78.350.833,3.35,Post-monsoon 2020,,7.77,823,526.72,0,250,50,0.66,97.438,13.5,70,3,16,53.482,2.599.095.395,1.887.813.529,C3S1,-198.190.789,P.S.
ADILABAD,Gudihatnoor,Gudihatnoor,19.525.555,78.512.222,05.05,Post-monsoon 2020,,8.21,745,476.8,0,240,70,0.49,4.147.154.545,10.5,65,3,16,48.62,2.399.177.632,1.824.543.906,C2S1,1.644.737,P.S.
ADILABAD,Jainath,Jainath,19.730.555,78.64,2.1,Post-monsoon 2020,,8.3,433,277.12,20,130,40,0.42,1.590.413.636,7.25,31,1,16,29.172,1.599.506.579,1.065.714.421,C2S1,-199.013.158,P.S.
ADILABAD,Narnoor,Narnoor,19.495.665,78.852.654,1.38,Post-monsoon 2020,,7.67,710,454.4,0,270,50,2.28,4.026.363.636,14.5,129,2,32,5,8.287.828.947,6.160.862.054,C2S1,3.742.434.211,U.S.
ADILABAD,Neradigonda,Neradigonda,1.929.375,7.841.216,6.25,Post-monsoon 2020,,7.96,850,544,0,270,80,0.39,4.590.054.545,11.75,70,2,32,48.62,2.799.177.632,1.819.093.301,C3S1,-198.355.263,P.S.
ADILABAD,Talamadugu,Talamadugu,196.334,783.969,3.89,Post-monsoon 2020,,08.07,1428,913.92,0,360,150,0.16,1.403.187.727,31.25,136,4,40,77.792,4.198.684.211,288.572.184,C3S1,-1.197.368.421,P.S.
ADILABAD,Tamsi,Tamsi,196.811,784.268,3.6,Post-monsoon 2020,,7.44,893,571.52,0,230,70,1.38,1.322.660.455,16.75,71,3,24,58.344,2.999.013.158,1.782.548.385,C3S1,-1.398.026.316,P.S.
ADILABAD,Utnoor,Utnoor,193.789,787.685,2,Post-monsoon 2020,,7.81,1307,836.48,0,370,170,01.04,2.355.422.727,27.25,136,5,32,68.068,3.598.848.684,3.116.946.004,C3S1,202.302.632,P.S.
BHADRADRI,Annapureddypalli,Annapureddypalli,17.354.519,80.826.104,12.7,Post-monsoon 2020,,8.15,443,283.52,0,80,70,431,46.411.491,5,16.97,4.44,64,4.862,1.799.917.763,549.955.658,C2S1,-1.999.835.526,P.S.
BHADRADRI,Ashwapuram,Aswapuram,17.841.678,80.809.241,6.62,Post-monsoon 2020,,8.54,1032,660.48,30,160,140,217,9.553.353,29,83.17,16.14,88,19.448,2.999.671.053,2.087.863.247,C3S1,-2.199.342.105,P.S.
BHADRADRI,Bhadrachalam,Bhadrachalam,17.666.775,80.900.922,1.67,Post-monsoon 2020,,8.17,1373,878.72,0,440,110,792,7.653.312,21,83.67,6.16,88,68.068,4.998.848.684,1.627.072.622,C3S1,-1.197.697.368,P.S.
BHADRADRI,Burgampad,M.Banjara,176.447,807.911,3.25,Post-monsoon 2020,,9.23,388,248.32,60,100,20,233,296.743,8,16.53,2.69,24,24.31,1.599.588.816,568.251.824,C2S1,822.368,P.S.
BHADRADRI,Chandrugonda,Ravikampadu,173.986,806.106,3.4,Post-monsoon 2020,,8.17,3666,2346.24,0,660,480,346,535.909,49,396.6,3.9,56,204.204,9.796.546.053,5.509.198.006,C4S2,-6.393.092.105,P.S.
BHADRADRI,Dummugudem,Bandirevu,17.92,80.92,2.41,Post-monsoon 2020,,8.56,882,564.48,30,330,30,1.54,20.174.095,8,88.89,0.97,24,43.758,2.399.259.868,2.495.091.205,C3S1,2.401.480.263,MR
BHADRADRI,Gundala,Kanchanapalli,17.79,80.42,1.18,Post-monsoon 2020,,8.24,805,515.2,0,150,80,211,14.017.785,14,20.9,72.36,72,19.448,2.599.671.053,563.584.773,C3S1,-2.199.342.105,P.S.
BHADRADRI,Julurpadu,P. Narsapuram,17.438.169,80.520.318,8.45,Post-monsoon 2020,,8.48,4340,2777.6,20,800,790,1.21,21.020.034,46,748.1,12.1,8,131.274,5.597.779.605,137.475.061,C4S3,5.204.440.789,U.S.
BHADRADRI,Karakagudem,Karakagudem,18.034.655,80.568.147,1.16,Post-monsoon 2020,,7.67,687,439.68,0,270,40,851,713.069,9,44.94,17.52,56,19.448,2.199.671.053,1.317.426.401,C2S1,1.000.657.895,P.S.
BHADRADRI,Laxmidevipalli,Laxmidevipalli,17.573,80.619,4.36,Post-monsoon 2020,,7.91,1242,794.88,0,330,150,403,987.667,14,81.1,13.25,104,48.62,4.599.177.632,1.644.193.498,C3S1,-2.598.355.263,P.S.
BHADRADRI,Manuguru,Pagideru,17.97,80.73,0.87,Post-monsoon 2020,,8.12,1638,1048.32,0,290,340,335,97.438,23,178.8,59.8,56,48.62,3.399.177.632,4.216.506.249,C3S1,-998.355.263,P.S.
BHADRADRI,Palwancha,REGELLA,17.95,80.58,1.97,Post-monsoon 2020,,8.64,1414,904.96,50,550,70,1.24,150.586,14,161.3,15.1,64,48.62,3.599.177.632,3.696.620.698,C3S1,4.801.644.737,U.S.
BHADRADRI,Tekulapalli,Bethampudi,17.56,80.45,08.04,Post-monsoon 2020,,8.18,1565,1001.6,0,330,190,649,16.227.856,28,273.7,3.9,8,43.758,1.999.259.868,8.416.128.101,C3S2,2.601.480.263,U.S.
BHADRADRI,Tekulapalli,Mutyalampadu,17.54,80.5,3.78,Post-monsoon 2020,,08.09,1600,1024,0,560,120,784,5.212.933,15,282.3,9.4,24,29.172,1.799.506.579,9.149.688.794,C3S2,7.600.986.842,U.S.
BHADRADRI,Yellandu,Komararam,17.71,80.32,1.14,Post-monsoon 2020,,8.1,647,414.08,0,260,20,2.53,15.802.672,10,10.48,14.43,72,24.31,2.799.588.816,272.324.253,C2S1,-399.177.632,P.S.
BHUPALPALLY,Ghanpur Mulug,Chelpur(D),18.368.545,79.853.503,5.24,Post-monsoon 2020,,7.94,565,361.6,0,150,70,0.31,2.395.686.364,47.75,16,4,64,29.172,2.799.506.579,415.768.326,C2S1,-2.599.013.158,P.S.
BHUPALPALLY,Kataram,Shankarampally 125(D),186.022,798.983,23.12,Post-monsoon 2020,,7.67,372,238.08,0,130,60,0.42,2.476.213.636,3.25,27,1,16,34.034,1.799.424.342,875.123.069,C2S1,-998.848.684,P.S.
BHUPALPALLY,Mahadevpur,Ambatipalli,18.695.678,80.061.858,20.19,Post-monsoon 2020,,7.99,261,167.04,0,100,40,0.29,1.409.227.273,4.25,14,2,56,5,140,51.444.172,C2S1,-0.8,P.S.
BHUPALPALLY,Regonda,Regonda,18.24,797.775,3.29,Post-monsoon 2020,,7.14,1261,807.04,0,200,260,01.03,4.489.395.455,23.25,28,3,64,102.102,5.798.273.026,505.569.498,C3S1,-7.596.546.053,P.S.
HYDERABAD,Ameerpet,S.R.Nagar,17.442.333,78.443.916,10.9,Post-monsoon 2020,,7.61,1271,813.44,0,320,160,1.2,571.341,19.25,101.23,1.44,96,38.896,3.999.342.105,2.200.833.171,C3S1,-1.598.684.211,P.S.
HYDERABAD,Asifnagar,Himayanagar,17.397.638,7.844.525,1.8,Post-monsoon 2020,,7.95,443,283.52,0,150,50,0.34,283.456,12.75,30.74,4.73,48,9.724,1.599.835.526,1.056.667.522,C2S1,-199.671.053,P.S.
HYDERABAD,Asifnagar,Kulsanapur,17.374,78.437,1.21,Post-monsoon 2020,,8.33,1625,1040,10,370,190,0.91,1.621.014,34,193.6,24.9,88,38.896,3.799.342.105,4.318.404.469,C3S1,1.315.789,P.S.
HYDERABAD,Bandlaguda,Chandraingutta,17.333,78.484,07.04,Post-monsoon 2020,,8.32,557,356.48,10,140,80,0.45,243.595,16.75,56.79,2.56,40,14.586,1.599.753.289,1.952.169.516,C2S1,-199.506.579,P.S.
HYDERABAD,Charminar,Darul Shifa,17.381,78.485,3.92,Post-monsoon 2020,,8.18,907,580.48,0,160,160,0.37,48.719,19,70.19,13.62,56,34.034,2.799.424.342,1.823.950.463,C3S1,-2.398.848.684,P.S.
HYDERABAD,Maredpally,Maredpally(s),17.441,78.509,5.65,Post-monsoon 2020,,7.88,1555,995.2,0,370,140,1.4,190.447,41.5,88,1.64,184,24.31,5.599.588.816,1.616.876.196,C3S1,-3.799.177.632,P.S.
HYDERABAD,Nampally,Nampally,17.385,78.474,02.06,Post-monsoon 2020,,8,1549,991.36,0,450,170,1.14,544.767,26,119,7.7,64,82.654,4.998.601.974,2.314.167.804,C3S1,-997.203.947,P.S.
HYDERABAD,Saidabad,Juvinile home,17.361,78.508,02.06,Post-monsoon 2020,,8.35,1205,771.2,10,340,140,0.95,500.477,25,114,8.38,88,34.034,3.599.424.342,2.612.525.214,C3S1,-198.848.684,P.S.
JAGITYAL,Dharmapuri,Dharmapuri,18.946.944,79.101.944,4.84,Post-monsoon 2020,,7.67,810,518.4,0,270,40,0.45,4.086.759.091,51.25,15,2,32,72.93,3.798.766.447,334.612.473,C3S1,-2.197.532.895,P.S.
JAGITYAL,Gollapalli,Gollapalli,187.906,790.522,3.3,Post-monsoon 2020,,07.09,817,522.88,0,200,110,1,4.590.054.545,13.25,29,6,56,48.62,3.399.177.632,683.885.242,C3S1,-2.798.355.263,P.S.
JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,18.898.611,78.579.444,3.41,Post-monsoon 2020,,7.12,847,542.08,0,200,110,0.47,4.569.922.727,14.25,30,3,48,53.482,3.399.095.395,70.747.605,C3S1,-2.798.190.789,P.S.
JAGITYAL,Jagityal,Jagityal,188.252,788.461,5.1,Post-monsoon 2020,,8.31,395,252.8,20,130,50,0.24,6.442.181.818,13.5,25,5,32,24.31,1.799.588.816,810.262.109,C2S1,-599.177.632,P.S.
JAGITYAL,Kathalapur,Kathalapur,18.752.777,78.689.722,1.68,Post-monsoon 2020,,7.99,1156,739.84,0,220,250,2.19,3.221.090.909,9.25,33,1,32,106.964,5.198.190.789,629.303.281,C3S1,-5.996.381.579,P.S.
JAGITYAL,Kodimal,Chepial,18.624.722,78.935.833,3.92,Post-monsoon 2020,,08.01,774,495.36,0,330,80,1.29,2.013.181.818,38.25,28,2,40,82.654,4.398.601.974,580.460.756,C3S1,-2.197.203.947,P.S.
JAGITYAL,Korutla,Korutla,18.818.611,78.706.388,5.75,Post-monsoon 2020,,8.3,455,291.2,30,150,50,0.33,7.046.136.364,17,23,4,72,9.724,2.199.835.526,674.225.066,C2S1,-799.671.053,P.S.
